#iter q1 q2 q3 q4 q5 rev1 rev2 rev3 rev4 rev5 revavg k1 k2 k3 k4 k5 kavg 
1 1,00 0,58 1,00 1,00 0,58 0,35 0,13 0,29 0,35 0,13 0,25 0 4 3 3 3 2,60 
2 1,00 1,00 1,00 1,00 1,00 0,41 0,41 0,30 0,41 0,41 0,39 0 4 3 3 3 2,60 
3 1,00 1,00 1,00 1,00 0,58 0,27 0,31 0,19 0,31 0,13 0,24 0 4 3 3 3 2,60 
4 1,00 1,00 1,00 1,00 1,00 0,41 0,41 0,30 0,41 0,41 0,39 0 4 3 3 3 2,60 
5 1,00 0,42 0,83 1,00 0,42 0,44 0,00 1,00 0,44 0,00 0,38 0 4 3 3 3 2,60 
6 0,42 0,42 0,83 1,00 1,00 0,00 0,00 1,00 0,44 0,44 0,38 0 4 3 3 3 2,60 
7 0,58 1,00 1,00 1,00 1,00 0,13 0,49 1,00 0,49 0,43 0,51 0 4 3 3 3 2,60 
8 0,58 1,00 1,00 1,00 0,58 0,13 0,68 1,00 0,68 0,13 0,53 0 4 3 3 3 2,60 
9 0,58 1,00 1,00 1,00 0,58 0,13 0,68 1,00 0,68 0,13 0,53 0 4 3 3 3 2,60 
10 0,42 1,00 0,83 0,42 1,00 0,00 0,44 1,00 0,00 0,44 0,38 0 4 3 3 3 2,60 
11 0,58 1,00 1,00 1,00 1,00 0,13 0,49 1,00 0,49 0,43 0,51 0 4 3 3 3 2,60 
12 0,42 1,00 0,83 0,42 1,00 0,00 0,44 1,00 0,00 0,44 0,38 0 4 3 3 3 2,60 
13 0,58 1,00 1,00 1,00 1,00 0,13 0,49 1,00 0,49 0,43 0,51 0 4 3 3 3 2,60 
14 0,42 0,42 0,83 1,00 1,00 0,00 0,00 1,00 0,44 0,44 0,38 0 4 3 3 3 2,60 
15 0,58 1,00 1,00 1,00 1,00 0,13 0,31 0,19 0,31 0,27 0,24 0 4 3 3 3 2,60 
16 0,58 1,00 1,00 1,00 1,00 0,13 0,49 1,00 0,49 0,43 0,51 0 4 3 3 3 2,60 
17 0,58 1,00 1,00 1,00 1,00 0,13 0,49 1,00 0,49 0,43 0,51 0 4 3 3 3 2,60 
18 0,58 1,00 1,00 1,00 1,00 0,13 0,49 1,00 0,49 0,43 0,51 0 4 3 3 3 2,60 
19 0,17 0,33 0,58 0,33 1,00 0,00 0,00 0,13 0,00 0,64 0,16 0 4 3 3 3 2,60 
20 1,00 0,42 0,83 1,00 0,42 0,44 0,00 1,00 0,44 0,00 0,38 0 4 3 3 3 2,60 
