#iter q_curr av_rev s_10 %m %strategy av_k %ALLC %KC %KDC %KD %ALLD 
0 0,47 0,56 20 0,80 0,60 1,60 0,20 0,00 0,00 0,00 0,80 
1 0,17 0,13 2 0,80 0,20 2,20 0,20 0,00 0,00 0,00 0,80 
2 0,25 0,22 4 0,80 0,40 1,00 0,80 0,00 0,00 0,00 0,20 
3 0,67 0,67 23 0,80 0,60 1,00 0,40 0,00 0,00 0,00 0,60 
4 0,42 0,49 18 0,80 0,40 1,00 0,20 0,00 0,00 0,00 0,80 
5 0,25 0,31 16 0,80 0,40 1,00 0,20 0,00 0,00 0,00 0,80 
6 0,25 0,31 16 0,80 0,40 1,00 0,20 0,00 0,00 0,00 0,80 
7 0,25 0,31 16 0,80 0,40 1,00 0,20 0,00 0,00 0,00 0,80 
8 0,25 0,31 16 0,80 0,40 1,00 0,40 0,00 0,00 0,00 0,60 
9 0,42 0,49 18 0,80 0,40 1,00 0,40 0,00 0,00 0,00 0,60 
10 0,42 0,49 18 0,80 0,40 1,00 0,40 0,00 0,00 0,00 0,60 
11 0,42 0,49 18 0,80 0,40 1,00 0,40 0,00 0,00 0,00 0,60 
12 0,42 0,49 18 0,80 0,40 1,00 0,40 0,00 0,00 0,00 0,60 
13 0,42 0,49 18 0,80 0,40 1,00 0,40 0,00 0,00 0,00 0,60 
14 0,42 0,49 18 0,80 0,40 1,00 0,40 0,00 0,00 0,00 0,60 
15 0,42 0,49 18 0,80 0,40 1,00 0,40 0,00 0,00 0,00 0,60 
16 0,42 0,49 18 0,80 0,40 1,00 0,40 0,00 0,00 0,00 0,60 
17 0,42 0,49 18 0,80 0,40 1,00 0,40 0,00 0,00 0,00 0,60 
18 0,42 0,49 18 0,80 0,40 1,00 0,40 0,00 0,00 0,00 0,60 
19 0,42 0,49 18 0,80 0,40 1,00 0,40 0,00 0,00 0,00 0,60 
