##Experiment settings 
#Number of sensors 5 
#Battery usage in 1 moment of time 1.0 
#Battery cappacity 10 
#Sensor range 35 
#Q 0.80 
#C 0.5 
#Con 1.0 
#Coff+ 1.0 
#C1 0.5 
#C2 4.0 
#C3 0.5 
#C4 0.8 
#delta2 0.2 
#seed 1595027045162 
#Multirun 1 
#Sensor placement r 
#Poi placement 36 
#Max_num_of_iter 100 
#Max_num_of_runs 1 
#U 1 
#all-c 0.20 
#all-d 0.20 
#K-c 0.20 
#K-d 0.20 
#K-dc 0.20 
#max k 0 
#p_init_ON 0.5 
#H 4 
#epsylon 0.3 
#strategy change type adopt to the Best 
#strategy change range RTS+ strategy 
#Ready to share income False 
#Ready to share init 0.4 
#iter s1 s2 s3 s4 s5 s_10 
0 0 1 1 0 1 22 
1 0 1 1 0 1 22 
2 0 1 1 0 1 22 
3 0 1 1 0 1 22 
4 0 1 1 0 1 22 
5 0 1 1 0 1 22 
6 0 1 1 0 1 22 
7 0 1 1 1 1 30 
8 0 1 1 1 1 30 
9 0 1 1 1 1 30 
10 1 1 1 1 1 31 
11 1 0 1 0 1 21 
12 1 1 0 1 1 27 
13 0 1 1 1 0 14 
14 0 1 1 1 0 14 
15 1 1 1 1 1 31 
16 1 1 1 1 1 31 
17 1 0 1 0 1 21 
18 1 1 1 1 1 31 
19 1 0 1 0 1 21 
20 0 0 1 1 0 12 
21 1 1 1 1 1 31 
22 0 1 1 1 0 14 
23 0 1 1 0 0 6 
24 1 1 1 1 1 31 
25 1 0 1 0 1 21 
26 1 1 1 1 1 31 
27 0 1 1 1 0 14 
28 1 1 1 1 1 31 
29 1 1 1 1 1 31 
30 1 1 0 1 1 27 
31 1 1 1 1 1 31 
32 1 1 1 1 1 31 
33 0 1 1 1 0 14 
34 1 1 1 1 1 31 
35 1 0 1 0 1 21 
36 1 1 1 1 1 31 
37 1 1 1 1 1 31 
38 1 1 1 1 1 31 
39 1 1 1 1 1 31 
40 1 1 1 1 1 31 
41 1 0 0 0 1 17 
42 1 1 1 1 1 31 
43 1 0 1 0 1 21 
44 1 1 1 1 1 31 
45 1 1 1 1 1 31 
46 1 1 1 1 1 31 
47 1 1 1 1 1 31 
48 1 1 1 1 1 31 
49 1 1 1 1 1 31 
50 1 1 1 1 1 31 
51 1 1 0 1 1 27 
52 1 1 1 1 1 31 
53 0 0 1 0 0 4 
54 1 1 1 1 1 31 
55 1 1 1 1 1 31 
56 0 1 1 1 0 14 
57 0 1 1 1 0 14 
58 1 1 1 1 1 31 
59 1 1 0 1 1 27 
60 1 1 1 1 1 31 
61 1 1 1 1 1 31 
62 1 0 1 0 1 21 
63 1 1 1 1 1 31 
64 1 1 1 1 1 31 
65 1 1 1 1 1 31 
66 1 1 1 1 1 31 
67 1 1 1 1 1 31 
68 1 1 1 1 1 31 
69 0 1 1 1 0 14 
70 0 1 1 1 0 14 
71 0 1 1 1 0 14 
72 1 0 1 1 1 29 
73 0 1 1 1 0 14 
74 1 1 1 1 1 31 
75 1 1 1 1 1 31 
76 1 1 1 1 1 31 
77 1 1 1 1 1 31 
78 1 1 1 1 1 31 
79 1 0 1 0 1 21 
80 0 0 1 1 0 12 
81 1 1 1 1 0 15 
82 0 0 1 1 1 28 
83 0 0 1 1 0 12 
84 1 0 0 0 0 1 
85 1 1 1 1 1 31 
86 1 1 1 1 1 31 
87 1 1 1 1 1 31 
88 0 1 1 1 0 14 
89 1 1 1 1 1 31 
90 1 1 1 1 1 31 
91 0 1 1 1 0 14 
92 1 1 1 1 1 31 
93 1 0 1 0 1 21 
94 1 1 1 1 1 31 
95 1 1 1 1 1 31 
96 0 1 1 1 0 14 
97 1 0 1 1 1 29 
98 0 1 1 1 0 14 
99 1 1 1 1 1 31 
