##Experiment settings 
#Number of sensors 5 
#Battery usage in 1 moment of time 1.0 
#Battery cappacity 10 
#Sensor range 35 
#Q 0.80 
#C 0.5 
#Con 1.0 
#Coff+ 1.0 
#C1 0.5 
#C2 4.0 
#C3 0.5 
#C4 0.8 
#delta2 0.2 
#seed 1595027045162 
#Multirun 1 
#Sensor placement r 
#Poi placement 36 
#Max_num_of_iter 100 
#Max_num_of_runs 1 
#U 1 
#all-c 0.20 
#all-d 0.20 
#K-c 0.20 
#K-d 0.20 
#K-dc 0.20 
#max k 0 
#p_init_ON 0.5 
#H 4 
#epsylon 0.3 
#strategy change type adopt to the Best 
#strategy change range RTS+ strategy 
#Ready to share income False 
#Ready to share init 0.4 
#iter q1 q2 q3 q4 q5 rev1 rev2 rev3 rev4 rev5 revavg k1 k2 k3 k4 k5 kavg 
0 0.67 1.00 1.00 0.14 1.00 0.47 0.33 1.00 0.00 0.49 0.46 0 0 0 0 0 0.00 
1 0.67 1.00 1.00 0.14 1.00 0.47 0.33 1.00 0.00 0.49 0.46 0 0 0 0 0 0.00 
2 0.67 1.00 1.00 0.14 1.00 0.47 0.33 1.00 0.00 0.49 0.46 0 0 0 0 0 0.00 
3 0.67 1.00 1.00 0.14 1.00 0.47 0.33 1.00 0.00 0.49 0.46 0 0 0 0 0 0.00 
4 0.67 1.00 1.00 0.14 1.00 0.47 0.33 1.00 0.00 0.49 0.46 0 0 0 0 0 0.00 
5 0.67 1.00 1.00 0.14 1.00 0.47 0.33 1.00 0.00 0.49 0.46 0 0 0 0 0 0.00 
6 0.67 1.00 1.00 0.14 1.00 0.47 0.33 1.00 0.00 0.49 0.46 0 0 0 0 0 0.00 
7 0.67 1.00 1.00 1.00 1.00 0.47 0.50 1.00 0.88 0.49 0.67 0 0 0 0 0 0.00 
8 0.67 1.00 1.00 1.00 1.00 0.47 0.50 1.00 0.88 0.49 0.67 0 0 0 0 0 0.00 
9 0.67 1.00 1.00 1.00 1.00 0.47 0.50 1.00 0.88 0.49 0.67 0 0 0 0 0 0.00 
10 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
11 1.00 0.55 1.00 0.00 1.00 0.40 0.00 1.00 0.00 0.49 0.38 0 0 0 0 0 0.00 
12 1.00 1.00 0.00 1.00 1.00 0.50 0.55 0.00 0.88 0.47 0.48 0 0 0 0 0 0.00 
13 0.33 1.00 1.00 1.00 0.67 0.00 0.68 1.00 0.88 0.47 0.60 0 0 0 0 0 0.00 
14 0.33 1.00 1.00 1.00 0.67 0.00 0.68 1.00 0.88 0.47 0.60 0 0 0 0 0 0.00 
15 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
16 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
17 1.00 0.55 1.00 0.00 1.00 0.40 0.00 1.00 0.00 0.49 0.38 0 0 0 0 0 0.00 
18 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
19 1.00 0.55 1.00 0.00 1.00 0.40 0.00 1.00 0.00 0.49 0.38 0 0 0 0 0 0.00 
20 0.00 0.09 1.00 1.00 0.00 0.00 0.00 1.00 0.43 0.00 0.29 0 0 0 0 0 0.00 
21 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
22 0.33 1.00 1.00 1.00 0.67 0.00 0.68 1.00 0.88 0.47 0.60 0 0 0 0 0 0.00 
23 0.33 1.00 1.00 0.14 0.67 0.00 0.66 1.00 0.00 0.47 0.43 0 0 0 0 0 0.00 
24 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
25 1.00 0.55 1.00 0.00 1.00 0.40 0.00 1.00 0.00 0.49 0.38 0 0 0 0 0 0.00 
26 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
27 0.33 1.00 1.00 1.00 0.67 0.00 0.68 1.00 0.88 0.47 0.60 0 0 0 0 0 0.00 
28 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
29 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
30 1.00 1.00 0.00 1.00 1.00 0.50 0.55 0.00 0.88 0.47 0.48 0 0 0 0 0 0.00 
31 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
32 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
33 0.33 1.00 1.00 1.00 0.67 0.00 0.68 1.00 0.88 0.47 0.60 0 0 0 0 0 0.00 
34 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
35 1.00 0.55 1.00 0.00 1.00 0.40 0.00 1.00 0.00 0.49 0.38 0 0 0 0 0 0.00 
36 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
37 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
38 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
39 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
40 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
41 1.00 0.55 0.00 0.00 1.00 0.40 0.00 0.00 0.00 0.49 0.18 0 0 0 0 0 0.00 
42 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
43 1.00 0.55 1.00 0.00 1.00 0.40 0.00 1.00 0.00 0.49 0.38 0 0 0 0 0 0.00 
44 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
45 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
46 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
47 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
48 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
49 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
50 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
51 1.00 1.00 0.00 1.00 1.00 0.50 0.55 0.00 0.88 0.47 0.48 0 0 0 0 0 0.00 
52 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
53 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.20 0 0 0 0 0 0.00 
54 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
55 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
56 0.33 1.00 1.00 1.00 0.67 0.00 0.68 1.00 0.88 0.47 0.60 0 0 0 0 0 0.00 
57 0.33 1.00 1.00 1.00 0.67 0.00 0.68 1.00 0.88 0.47 0.60 0 0 0 0 0 0.00 
58 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
59 1.00 1.00 0.00 1.00 1.00 0.50 0.55 0.00 0.88 0.47 0.48 0 0 0 0 0 0.00 
60 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
61 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
62 1.00 0.55 1.00 0.00 1.00 0.40 0.00 1.00 0.00 0.49 0.38 0 0 0 0 0 0.00 
63 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
64 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
65 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
66 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
67 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
68 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
69 0.33 1.00 1.00 1.00 0.67 0.00 0.68 1.00 0.88 0.47 0.60 0 0 0 0 0 0.00 
70 0.33 1.00 1.00 1.00 0.67 0.00 0.68 1.00 0.88 0.47 0.60 0 0 0 0 0 0.00 
71 0.33 1.00 1.00 1.00 0.67 0.00 0.68 1.00 0.88 0.47 0.60 0 0 0 0 0 0.00 
72 1.00 0.64 1.00 1.00 1.00 0.47 0.35 1.00 0.87 0.56 0.65 0 0 0 0 0 0.00 
73 0.33 1.00 1.00 1.00 0.67 0.00 0.68 1.00 0.88 0.47 0.60 0 0 0 0 0 0.00 
74 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
75 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
76 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
