##Experiment settings 
#Number of sensors 5 
#Battery usage in 1 moment of time 1.0 
#Battery cappacity 10 
#Sensor range 35 
#Q 0.80 
#C 0.5 
#Con 1.0 
#Coff+ 1.0 
#C1 0.5 
#C2 4.0 
#C3 0.5 
#C4 0.8 
#delta2 0.2 
#seed 1 
#Multirun 3 
#Sensor placement r 
#Poi placement 36 
#Max_num_of_iter 20 
#Max_num_of_runs 1 
#U 2 
#all-c 0.20 
#all-d 0.20 
#K-c 0.20 
#K-d 0.20 
#K-dc 0.20 
#max k 3 
#p_init_ON 0.5 
#H 4 
#epsylon 0.3 
#strategy change type adopt to the Best 
#strategy change range RTS+ strategy 
#Ready to share income False 
#Ready to share init 0.4 
#iter q_curr std_q_curr av_rev std_av_rev %m std_%m %strategy std_%strategy av_k std_av_k %ALLC std_%ALLC %KC std_%KC %KDC std_%KDC %KD std_%KD %ALLD std_%ALLD 
0 0.50 0.04 0.34 0.08 0.27 0.09 0.00 0.00 0.93 0.41 0.33 0.09 0.27 0.09 0.07 0.09 0.20 0.16 0.13 0.09 
1 0.53 0.15 0.57 0.29 0.27 0.09 0.00 0.00 0.67 0.38 0.13 0.19 0.20 0.16 0.33 0.19 0.27 0.25 0.07 0.09 
2 0.65 0.09 0.45 0.13 0.27 0.19 0.00 0.00 0.73 0.09 0.13 0.19 0.20 0.16 0.00 0.00 0.53 0.09 0.13 0.19 
3 0.55 0.05 0.36 0.00 0.27 0.19 0.00 0.00 0.80 0.00 0.20 0.16 0.33 0.19 0.07 0.09 0.27 0.09 0.13 0.09 
4 0.60 0.05 0.43 0.06 0.53 0.38 0.00 0.00 1.20 0.33 0.33 0.34 0.27 0.19 0.20 0.16 0.07 0.09 0.13 0.19 
5 0.62 0.11 0.66 0.21 0.53 0.38 0.00 0.00 1.07 0.25 0.07 0.09 0.40 0.00 0.00 0.00 0.33 0.09 0.20 0.00 
6 0.61 0.13 0.40 0.17 0.53 0.38 0.00 0.00 0.93 0.50 0.33 0.25 0.33 0.25 0.00 0.00 0.20 0.28 0.13 0.19 
7 0.62 0.11 0.65 0.23 0.53 0.38 0.00 0.00 0.93 0.50 0.13 0.09 0.40 0.00 0.13 0.09 0.27 0.09 0.07 0.09 
8 0.64 0.13 0.50 0.11 0.53 0.38 0.00 0.00 0.93 0.50 0.20 0.16 0.33 0.25 0.27 0.38 0.07 0.09 0.13 0.19 
9 0.77 0.01 0.75 0.09 0.53 0.38 0.00 0.00 0.87 0.41 0.27 0.25 0.27 0.25 0.13 0.19 0.33 0.19 0.00 0.00 
10 0.56 0.09 0.50 0.24 0.53 0.38 0.00 0.00 0.87 0.34 0.53 0.09 0.20 0.28 0.07 0.09 0.00 0.00 0.20 0.16 
11 0.74 0.03 0.79 0.01 0.53 0.38 0.00 0.00 1.33 0.09 0.07 0.09 0.47 0.09 0.00 0.00 0.40 0.16 0.07 0.09 
12 0.57 0.14 0.45 0.12 0.53 0.38 0.00 0.00 1.20 0.59 0.20 0.16 0.40 0.33 0.00 0.00 0.27 0.25 0.13 0.19 
13 0.58 0.12 0.56 0.25 0.53 0.38 0.00 0.00 1.40 0.33 0.13 0.19 0.33 0.19 0.13 0.09 0.33 0.09 0.07 0.09 
14 0.57 0.08 0.57 0.20 0.53 0.38 0.00 0.00 0.93 0.41 0.20 0.16 0.47 0.09 0.00 0.00 0.33 0.25 0.00 0.00 
15 0.49 0.23 0.46 0.26 0.53 0.38 0.00 0.00 0.87 0.41 0.13 0.19 0.27 0.09 0.07 0.09 0.40 0.00 0.13 0.09 
16 0.60 0.13 0.47 0.11 0.53 0.38 0.00 0.00 0.93 0.66 0.13 0.19 0.40 0.33 0.00 0.00 0.40 0.28 0.07 0.09 
17 0.67 0.14 0.62 0.28 0.53 0.38 0.00 0.00 0.93 0.66 0.27 0.25 0.40 0.16 0.07 0.09 0.27 0.09 0.00 0.00 
18 0.47 0.23 0.45 0.18 0.53 0.38 0.00 0.00 0.93 0.66 0.20 0.16 0.33 0.25 0.00 0.00 0.20 0.16 0.27 0.38 
19 0.62 0.18 0.65 0.35 0.53 0.38 0.00 0.00 0.93 0.66 0.27 0.09 0.33 0.09 0.07 0.09 0.20 0.00 0.13 0.19 
